psu,a7,a8,relprac,floodrisk,pop1011_UNOSAT,dem_mean,dem_std,neigh_Rivers,centdist_MRiver,flood_exp,violent_vignette,effective,approve,vv_pop1011_UNOSAT,male,headh,age,read,math,educ,sunni,knowfullpca,simpleknow,vv_flood_exp
4,Barkhan,Barkhan,.43333334,.048734177,0,1.2624629,.20841773,0,1.3607925,0,1,.25,.25,0,0,0,.28999999,0,1,0,1,2.1312859,.69999999,0
144,Barkhan,Barkhan,.33333334,.048734177,0,1.2624629,.20841773,0,1.3607925,0,1,1,1,0,1,1,.36000001,0,0,0,1,1.0609791,.40000001,0
89,Barkhan,Barkhan,.2,.048734177,0,1.2624629,.20841773,0,1.3607925,0,1,1,1,0,0,0,.43000001,0,,0,1,1.8195233,.60000002,0
104,Barkhan,Barkhan,.40000001,.048734177,0,1.2624629,.20841773,0,1.3607925,0,1,1,1,0,0,0,.43000001,0,1,0,1,1.0286584,.30000001,0
937,Barkhan,Barkhan,.43333334,.048734177,0,1.2624629,.20841773,0,1.3607925,0,0,.5,0,0,1,1,.28,0,,0,1,1.3678237,.5,0
144,Barkhan,Barkhan,.40000001,.048734177,0,1.2624629,.20841773,0,1.3607925,0,1,0,0,0,1,1,.38999999,0,0,0,1,1.3678237,.5,0
104,Barkhan,Barkhan,.36666667,.048734177,0,1.2624629,.20841773,0,1.3607925,0,1,1,.75,0,0,0,.34999999,0,1,0,1,.34324452,.2,0
951,Barkhan,Barkhan,.36666667,.048734177,0,1.2624629,.20841773,0,1.3607925,0,0,1,1,0,1,1,.40000001,0,0,0,1,.98157251,.40000001,0
89,Barkhan,Barkhan,.2,.048734177,0,1.2624629,.20841773,0,1.3607925,0,1,1,1,0,0,1,.34999999,0,0,0,1,1.056061,.40000001,0
393,Barkhan,Barkhan,.63333333,.048734177,0,1.2624629,.20841773,0,1.3607925,.333,1,0,.25,0,0,0,.28,0,1,0,,2.7113614,.80000001,.333
4,Barkhan,Barkhan,,.048734177,0,1.2624629,.20841773,0,1.3607925,0,1,.75,.75,0,0,0,.23,0,1,0,1,2.694571,.89999998,0
563,Barkhan,Barkhan,.46666667,.048734177,0,1.2624629,.20841773,0,1.3607925,0,0,.25,1,0,1,1,.44999999,1,1,.5,1,2.7387638,.89999998,0
307,Barkhan,Barkhan,.43333334,.048734177,0,1.2624629,.20841773,0,1.3607925,0,1,.75,0,0,1,1,.30000001,1,,.16666667,1,2.4313924,.80000001,0
916,Barkhan,Barkhan,.30000001,.048734177,0,1.2624629,.20841773,0,1.3607925,0,0,1,1,0,1,1,.41999999,0,0,0,1,.68146592,.30000001,0
89,Barkhan,Barkhan,.2,.048734177,0,1.2624629,.20841773,0,1.3607925,0,1,.5,.5,0,0,0,.30000001,0,,0,1,.32750914,.2,0
973,Barkhan,Barkhan,.2,.048734177,0,1.2624629,.20841773,0,1.3607925,0,0,0,0,0,0,0,.41,0,0,0,1,1.056061,.40000001,0
307,Barkhan,Barkhan,.40000001,.048734177,0,1.2624629,.20841773,0,1.3607925,0,1,.25,0,0,1,1,.37,1,1,.5,1,2.3333383,.69999999,0
937,Barkhan,Barkhan,,.048734177,0,1.2624629,.20841773,0,1.3607925,0,0,0,0,0,1,1,.38999999,0,0,0,1,1.3561676,.5,0
563,Barkhan,Barkhan,.30000001,.048734177,0,1.2624629,.20841773,0,1.3607925,0,0,1,1,0,1,1,.44,1,1,.5,1,2.7387638,.89999998,0
104,Barkhan,Barkhan,.40000001,.048734177,0,1.2624629,.20841773,0,1.3607925,0,1,1,1,0,0,0,.31999999,0,1,0,1,.68146592,.30000001,0
437,Barkhan,Barkhan,.40000001,.048734177,0,1.2624629,.20841773,0,1.3607925,0,0,0,0,0,1,1,.47999999,0,0,0,1,1.3678237,.5,0
857,Barkhan,Barkhan,.23333333,.048734177,0,1.2624629,.20841773,0,1.3607925,0,0,1,1,0,0,0,.33000001,0,0,0,1,.36562398,.2,0
437,Barkhan,Barkhan,.40000001,.048734177,0,1.2624629,.20841773,0,1.3607925,0,0,0,0,0,1,1,.51999998,0,0,0,1,1.3678237,.5,0
4,Barkhan,Barkhan,.2,.048734177,0,1.2624629,.20841773,0,1.3607925,0,1,.5,.75,0,0,0,.28,1,1,.33333334,1,1.7921207,.5,0
307,Barkhan,Barkhan,,.048734177,0,1.2624629,.20841773,0,1.3607925,0,1,0,0,0,1,1,.44,0,0,0,1,2.2428713,.80000001,0
563,Barkhan,Barkhan,.30000001,.048734177,0,1.2624629,.20841773,0,1.3607925,0,0,.25,.25,0,1,0,.23999999,1,1,.66666669,1,3.0063336,1,0
4,Barkhan,Barkhan,.033333335,.048734177,0,1.2624629,.20841773,0,1.3607925,0,1,.75,.75,0,0,0,.19,1,1,.5,0,2.3871996,.80000001,0
857,Barkhan,Barkhan,.26666668,.048734177,0,1.2624629,.20841773,0,1.3607925,0,0,1,1,0,0,0,.38999999,1,1,.33333334,1,1.8195233,.60000002,0
