gid_1,name_1,gid_2,name_2,paymentyear,comm_total_all,disb_total_all,comm_health_all,disb_health_all,comm_repro_all,disb_repro_all,comm_total_all_ngo,disb_total_all_ngo,comm_health_all_ngo,disb_health_all_ngo,comm_repro_all_ngo,disb_repro_all_ngo,comm_health_all_ngo_nonus,disb_health_all_ngo_nonus,comm_total_us,disb_total_us,comm_health_us,disb_health_us,comm_repro_us,disb_repro_us,comm_total_us_ngo,disb_total_us_ngo,comm_health_us_ngo,disb_health_us_ngo,comm_repro_us_ngo,disb_repro_us_ngo,comm_health_us_ngo_nonus,disb_health_us_ngo_nonus,comm_total_eu,disb_total_eu,comm_health_eu,disb_health_eu,comm_repro_eu,disb_repro_eu,comm_total_eu_ngo,disb_total_eu_ngo,comm_health_eu_ngo,disb_health_eu_ngo,comm_repro_eu_ngo,disb_repro_eu_ngo,comm_health_eu_ngo_nonus,disb_health_eu_ngo_nonus,comm_total_other,disb_total_other,comm_health_other,disb_health_other,comm_repro_other,disb_repro_other,comm_total_other_ngo,disb_total_other_ngo,comm_health_other_ngo,disb_health_other_ngo,comm_repro_other_ngo,disb_repro_other_ngo,comm_health_other_ngo_nonus,disb_health_other_ngo_nonus
PAK.2_1,Baluchistan,PAK.2.1_1,Kalat,1997,2314.6376953125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2314.6376953125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAK.2_1,Baluchistan,PAK.2.1_1,Kalat,1998,3794766.44580078,2408158.23193359,3617124,211400.640625,3617124,211400.640625,112533.1484375,106101.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3794766.44580078,2408158.23193359,3617124,211400.640625,3617124,211400.640625,112533.1484375,106101.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAK.2_1,Baluchistan,PAK.2.1_1,Kalat,1999,1979114.75,2052616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1979114.75,2052616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAK.2_1,Baluchistan,PAK.2.1_1,Kalat,2000,1271887.29248047,395677.59375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1271887.29248047,395677.59375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAK.2_1,Baluchistan,PAK.2.1_1,Kalat,2001,2195993.25,115289.265625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2195993.25,115289.265625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAK.2_1,Baluchistan,PAK.2.1_1,Kalat,2002,4400813.63671875,2730651.38574219,53191.13671875,394242.234375,53191.13671875,394242.234375,4347622.5,359824.53125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4400813.63671875,2730651.38574219,53191.13671875,394242.234375,53191.13671875,394242.234375,4347622.5,359824.53125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAK.2_1,Baluchistan,PAK.2.1_1,Kalat,2003,19681801.2700178,1523711.1015625,95261.7187805176,974727.875,95261.7187805176,974727.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,716915.914093018,1523711.1015625,95261.7187805176,974727.875,95261.7187805176,974727.875,0,0,0,0,0,0,0,0,18964885.3559248,0,0,0,0,0,0,0,0,0,0,0,0,0
PAK.2_1,Baluchistan,PAK.2.1_1,Kalat,2004,5200829.375,3562740.47595156,0,119052.8984375,0,119052.8984375,4305627,866123.5625,0,0,0,0,0,0,791735.2421875,0,0,0,0,0,0,0,0,0,0,0,0,0,4409094.1328125,1044488.62744141,0,119052.8984375,0,119052.8984375,4305627,866123.5625,0,0,0,0,0,0,0,2518251.84851015,0,0,0,0,0,0,0,0,0,0,0,0
PAK.2_1,Baluchistan,PAK.2.1_1,Kalat,2005,109912910.268128,7931065.30167957,0,0,0,0,0,91034.4296875,0,0,0,0,0,0,333398.8125,91034.4296875,0,0,0,0,0,91034.4296875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109579511.455628,7840030.87199207,0,0,0,0,0,0,0,0,0,0,0,0
PAK.2_1,Baluchistan,PAK.2.1_1,Kalat,2006,25296615.6047574,15948931.6083219,0,0,0,0,0,2241371.09375,0,0,0,0,0,0,64227.89453125,586079.55078125,0,0,0,0,0,521851.65625,0,0,0,0,0,0,0,1742506.5859375,0,0,0,0,0,1719519.4375,0,0,0,0,0,0,25232387.7102261,13620345.4716032,0,0,0,0,0,0,0,0,0,0,0,0
PAK.2_1,Baluchistan,PAK.2.1_1,Kalat,2007,850585.499023438,11762271.0945125,0,0,0,0,333606.14453125,805700.953125,0,0,0,0,0,0,483446.4921875,97206.095703125,0,0,0,0,270423.65625,0,0,0,0,0,0,0,367139.006835938,1153825.17871094,0,0,0,0,63182.48828125,805700.953125,0,0,0,0,0,0,0,10511239.8200984,0,0,0,0,0,0,0,0,0,0,0,0
PAK.2_1,Baluchistan,PAK.2.1_1,Kalat,2008,23571288.1378401,12469633.1126075,0,0,0,0,367099.96875,756990.3125,0,0,0,0,0,0,1726418.19335938,444163.146484375,0,0,0,0,0,0,0,0,0,0,0,0,1780169.015625,2170059.359375,0,0,0,0,367099.96875,756990.3125,0,0,0,0,0,0,20064700.9288557,9855410.60674816,0,0,0,0,0,0,0,0,0,0,0,0
PAK.2_1,Baluchistan,PAK.2.1_1,Kalat,2009,98888049.9006468,14935189.3189837,0,0,0,0,47233345.4547989,4773097.1892572,0,0,0,0,0,0,2234991.1796875,684958.11328125,0,0,0,0,1015465.375,539857.94921875,0,0,0,0,0,0,13627305.40625,2364073.00317383,0,0,0,0,12190932,1406416.5,0,0,0,0,0,0,83025753.3147093,11886158.2025287,0,0,0,0,34026948.0797989,2826822.74003845,0,0,0,0,0,0
PAK.2_1,Baluchistan,PAK.2.1_1,Kalat,2010,32286879.8017578,44546092.6100671,0,0,0,0,2390699.3125,6528288.52932616,0,0,0,0,0,0,20967338.0583496,18823037.115448,0,0,0,0,1818481.625,1205081.78125,0,0,0,0,0,0,11319541.7434082,13267201.7434082,0,0,0,0,572217.6875,2158571.90625,0,0,0,0,0,0,0,12455853.751211,0,0,0,0,0,3164634.84182616,0,0,0,0,0,0
PAK.2_1,Baluchistan,PAK.2.1_1,Kalat,2011,74811938.8759145,28931525.9859652,0,0,0,0,2325270.46728516,6601153.45824596,0,0,0,0,0,0,3256488.36181641,8110982.50956345,0,0,0,0,4785.32666015625,355173.46875,0,0,0,0,0,0,32029075.5654297,4704277.83935547,0,0,0,0,2320485.140625,2168175.640625,0,0,0,0,0,0,39526374.9486684,16116265.6370463,0,0,0,0,0,4077804.34887096,0,0,0,0,0,0
PAK.2_1,Baluchistan,PAK.2.1_1,Kalat,2012,107867930.922613,30684621.6263935,0,0,0,0,177395.3125,14416308.1133165,0,0,0,0,0,0,36214.08203125,36214.08203125,0,0,0,0,0,0,0,0,0,0,0,0,4362915.97952271,5194993.18850708,0,0,0,0,177395.3125,3672366.50390625,0,0,0,0,0,0,103468800.861059,25453414.3558552,0,0,0,0,0,10743941.6094102,0,0,0,0,0,0
PAK.2_1,Baluchistan,PAK.2.1_1,Kalat,2013,8465680.9921875,38726949.3374493,0,0,0,0,1028615.1875,13010533.8233618,0,0,0,0,0,0,0,252780.015625,0,0,0,0,0,252780.015625,0,0,0,0,0,0,8465680.9921875,14675049.8671875,0,0,0,0,1028615.1875,4562370.25,0,0,0,0,0,0,0,23799119.4546368,0,0,0,0,0,8195383.55773677,0,0,0,0,0,0
PAK.2_1,Baluchistan,PAK.2.1_1,Kalat,2014,9870218.578125,28731380.0140357,769030,438439.25,769030,438439.25,275957.328125,3891139.828125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6141468.578125,11923526.203125,769030,438439.25,769030,438439.25,275957.328125,2016139.828125,0,0,0,0,0,0,3728750,16807853.8109107,0,0,0,0,0,1875000,0,0,0,0,0,0
PAK.2_1,Baluchistan,PAK.2.1_1,Kalat,2015,5308707.8203125,30745803.6457429,201286.984375,871473.046875,201286.984375,871473.046875,377333.140625,4182768.13619195,201286.984375,201286.984375,201286.984375,201286.984375,201286.984375,201286.984375,36163.71875,9606063.71875,0,0,0,0,36163.71875,36163.71875,0,0,0,0,0,0,5272544.1015625,9596171.1640625,201286.984375,871473.046875,201286.984375,871473.046875,341169.421875,1911063.984375,201286.984375,201286.984375,201286.984375,201286.984375,201286.984375,201286.984375,0,11543568.7629304,0,0,0,0,0,2235540.43306695,0,0,0,0,0,0
PAK.2_1,Baluchistan,PAK.2.1_1,Kalat,2016,244883965.686691,20432975.4800897,0,1112574.546875,0,1112574.546875,50636.26953125,211030.87890625,0,160394.609375,0,160394.609375,0,160394.609375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3080357.70703125,10714798.5039063,0,1112574.546875,0,1112574.546875,50636.26953125,211030.87890625,0,160394.609375,0,160394.609375,0,160394.609375,241803607.97966,9718176.97618341,0,0,0,0,0,0,0,0,0,0,0,0
PAK.2_1,Baluchistan,PAK.2.1_1,Kalat,2017,862579084.186454,28673606.3833548,0,395250.3984375,0,395250.3984375,1636660.953125,670379.08203125,0,0,0,0,0,0,42846.3046875,12105913.5292969,0,0,0,0,0,0,0,0,0,0,0,0,2019744.171875,7901043.69921875,0,395250.3984375,0,395250.3984375,1636660.953125,670379.08203125,0,0,0,0,0,0,860516493.709892,8666649.15483913,0,0,0,0,0,0,0,0,0,0,0,0
PAK.2_1,Baluchistan,PAK.2.1_1,Kalat,2018,76710524.7763941,8391080.27030739,0,0,0,0,341431.375,547256.8359375,0,0,0,0,0,0,40926768.0703125,906829.796875,0,0,0,0,0,0,0,0,0,0,0,0,343229.539550781,6931304.3359375,0,0,0,0,341431.375,547256.8359375,0,0,0,0,0,0,35440527.1665308,552946.137494892,0,0,0,0,0,0,0,0,0,0,0,0
PAK.2_1,Baluchistan,PAK.2.1_1,Kalat,2019,96511111.8436893,26510648.641968,0,0,0,0,1677059.99023438,459251.096679688,0,0,0,0,0,0,1374919.03710938,4920404.00195313,0,0,0,0,718839.25,0,0,0,0,0,0,0,958220.740234375,459251.096679688,0,0,0,0,958220.740234375,459251.096679688,0,0,0,0,0,0,94177972.0663456,21130993.5433352,0,0,0,0,0,0,0,0,0,0,0,0
PAK.2_1,Baluchistan,PAK.2.1_1,Kalat,2020,40831074.5905415,27807830.5826394,0,0,0,0,777683.875,471489.46875,0,0,0,0,0,0,777683.875,4499245.19140625,0,0,0,0,777683.875,0,0,0,0,0,0,0,444883.48828125,915472.403320313,0,0,0,0,0,471489.46875,0,0,0,0,0,0,39608507.2272603,22393112.9879128,0,0,0,0,0,0,0,0,0,0,0,0
PAK.2_1,Baluchistan,PAK.2.1_1,Kalat,2021,0,24603986.7997296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24603986.7997296,0,0,0,0,0,0,0,0,0,0,0,0
PAK.2_1,Baluchistan,PAK.2.1_1,Kalat,2022,0,60075474.4778759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60075474.4778759,0,0,0,0,0,0,0,0,0,0,0,0
PAK.2_1,Baluchistan,PAK.2.1_1,Kalat,2023,0,18022268.9695291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18022268.9695291,0,0,0,0,0,0,0,0,0,0,0,0
PAK.2_1,Baluchistan,PAK.2.2_1,Makran,1992,3824356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3824356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAK.2_1,Baluchistan,PAK.2.2_1,Makran,1996,55468.74609375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55468.74609375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAK.2_1,Baluchistan,PAK.2.2_1,Makran,1999,12202555.423905,678243.566341626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12202555.423905,678243.566341626,0,0,0,0,0,0,0,0,0,0,0,0
PAK.2_1,Baluchistan,PAK.2.2_1,Makran,2000,0,414206.773460184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,414206.773460184,0,0,0,0,0,0,0,0,0,0,0,0
PAK.2_1,Baluchistan,PAK.2.2_1,Makran,2001,181701325.152757,1909570.98153585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181701325.152757,1909570.98153585,0,0,0,0,0,0,0,0,0,0,0,0
PAK.2_1,Baluchistan,PAK.2.2_1,Makran,2002,131306799.579394,2713303.21542622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131306799.579394,2713303.21542622,0,0,0,0,0,0,0,0,0,0,0,0
PAK.2_1,Baluchistan,PAK.2.2_1,Makran,2003,141763330.691396,3072108.68996182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141763330.691396,3072108.68996182,0,0,0,0,0,0,0,0,0,0,0,0
PAK.2_1,Baluchistan,PAK.2.2_1,Makran,2004,0,3776172.91693969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3776172.91693969,0,0,0,0,0,0,0,0,0,0,0,0
PAK.2_1,Baluchistan,PAK.2.2_1,Makran,2005,1241378.5960935,3317883.25409475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1241378.5960935,3317883.25409475,0,0,0,0,0,0,0,0,0,0,0,0
PAK.2_1,Baluchistan,PAK.2.2_1,Makran,2006,40855381.8019263,4852024.6648279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40855381.8019263,4852024.6648279,0,0,0,0,0,0,0,0,0,0,0,0
PAK.2_1,Baluchistan,PAK.2.2_1,Makran,2007,0,4146035.6627205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4146035.6627205,0,0,0,0,0,0,0,0,0,0,0,0
PAK.2_1,Baluchistan,PAK.2.2_1,Makran,2008,0,2609307.40548876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2609307.40548876,0,0,0,0,0,0,0,0,0,0,0,0
PAK.2_1,Baluchistan,PAK.2.2_1,Makran,2009,1769401.30014954,2203051.54696137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1769401.30014954,2203051.54696137,0,0,0,0,0,0,0,0,0,0,0,0
