district,year,att_on_Business,att_on_Government_General,att_on_Police,att_on_Military,att_on_No_Name,att_on_Airports_Aircraft,att_on_Government_Diplomatic,att_on_Educational_Inst,att_on_Food_or_Water_Supply,att_on_Journalists_Media,att_on_Maritime,att_on_NGO,att_on_Other,att_on_Private_Citizens_Prop,att_on_Religious_Figures_Inst,att_on_Telecommunication,att_on_Terror_Non_State_M,att_on_Tourists,att_on_Transportation,att_on_Unknown,att_on_Utilities,att_on_Violent_Political_Party,attack_type_8_success,attack_type_8_fail,total_attacks,nkill,nwound,property,total_pop2,total_pop_982,total_att_on_law_enf,total_attcks_calculated,total_att_others,province
Charsadda,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6443840,4089456,0,0,0,Khyber Pakhtunkhwa
Chiniot,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5474636,3860496,0,0,0,Punjab
Chitral Lower,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1884392,1213476,0,0,0,Khyber Pakhtunkhwa
Chitral Upper,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1281296,906604,0,0,0,Khyber Pakhtunkhwa
D. I. Khan,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6720068,3547036,0,0,0,Khyber Pakhtunkhwa
Dadu,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6201560,4426868,0,0,0,Sindh
Darel,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400000,856000,0,0,0,Gilgit Baltistan
Dera Bugti,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,789776,427448,0,0,0,Balochistan
Dera Ghazi Khan,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11164468,6440964,0,0,0,Punjab
Diamir,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,527700,1080000,0,0,0,Gilgit Baltistan
Duki,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,611908,463904,0,0,0,Balochistan
East Karachi,1981,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2,2,1,5284932,3184376,0,1,2,Sindh
Faisalabad,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31529776,21718188,0,0,0,Punjab
Ghanche,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353460,639996,0,0,0,Gilgit Baltistan
Ghizer,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480912,680000,0,0,0,Gilgit Baltistan
Ghotki,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6594832,3875188,0,0,0,Sindh
Gilgit,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,581088,1160000,0,0,0,Gilgit Baltistan
Gujranwala,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8818148,6355212,0,0,0,Punjab
Gujrat,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11025156,8192032,0,0,0,Punjab
Gupis-Yasin,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116000,382300,0,0,0,Gilgit Baltistan
Gwadar,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1049012,741992,0,0,0,Balochistan
Hafizabad,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4627816,3331920,0,0,0,Punjab
Hangu,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2075244,1258116,0,0,0,Khyber Pakhtunkhwa
Haripur,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7934400,5504372,0,0,0,Khyber Pakhtunkhwa
Harnai,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256224,205928,0,0,0,Balochistan
Haveli,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,560112,344296,0,0,0,Azad Kashmir
Hunza,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186656,200000,0,0,0,Gilgit Baltistan
Hyderabad,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8799712,5979464,0,0,0,Sindh
Islamabad,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8013472,3220940,0,0,0,Islamabad
Jacobabad,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4028036,2908760,0,0,0,Sindh
Jaffarabad,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2055888,1165160,0,0,0,Balochistan
Jamshoro,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3975632,2328376,0,0,0,Sindh
Jhal Magsi,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,557836,393516,0,0,0,Balochistan
Jhang,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10970532,7477684,0,0,0,Punjab
Jhelum,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4889612,3747828,0,0,0,Punjab
Jhelum Valley,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187276,115120,0,0,0,Azad Kashmir
Kachhi,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,945892,797828,0,0,0,Balochistan
Kalat,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,516376,346260,0,0,0,Balochistan
Kambar Shahdad Kot,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5460628,3630628,0,0,0,Sindh
Karak,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2821448,1723184,0,0,0,Khyber Pakhtunkhwa
Kashmore,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4361344,2708480,0,0,0,Sindh
Kasur,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13819524,9418024,0,0,0,Punjab
Kech,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3068916,1271876,0,0,0,Balochistan
Khairpur,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9719104,6191152,0,0,0,Sindh
Khanewal,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11680932,8273960,0,0,0,Punjab
Kharan,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,651064,387600,0,0,0,Balochistan
Kharmang,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167784,200000,0,0,0,Gilgit Baltistan
Khushab,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5139904,3563860,0,0,0,Punjab
Khuzdar,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2623396,1301736,0,0,0,Balochistan
Khyber,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4092860,2302972,0,0,0,Khyber Pakhtunkhwa
Killa Abdullah,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1295172,835480,0,0,0,Balochistan
Killa Saifullah,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,844228,433368,0,0,0,Balochistan
Kohat,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5259976,3043700,0,0,0,Khyber Pakhtunkhwa
Kohistan Lower,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1306540,352996,0,0,0,Khyber Pakhtunkhwa
Kohistan Upper,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1658836,1004464,0,0,0,Khyber Pakhtunkhwa
Kohlu,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,642004,310092,0,0,0,Balochistan
Kolai Palas Kohistan,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1395160,843788,0,0,0,Khyber Pakhtunkhwa
Korangi Karachi,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8772668,5385640,0,0,0,Sindh
Kotli,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501552,308304,0,0,0,Azad Kashmir
Kurram,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2461488,1793240,0,0,0,Khyber Pakhtunkhwa
Lahore,1981,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,21145272,12552516,0,0,1,Punjab
Lakki Marwat,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3555104,1992140,0,0,0,Khyber Pakhtunkhwa
Larkana,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6087144,4006432,0,0,0,Sindh
Lasbela,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2305084,1250780,0,0,0,Balochistan
Lehri,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,471796,354396,0,0,0,Balochistan
Leiah,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7295980,4483804,0,0,0,Punjab
Lodhran,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6798772,4687200,0,0,0,Punjab
Loralai,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,977784,536684,0,0,0,Balochistan
Lower Dir,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7030644,3906920,0,0,0,Khyber Pakhtunkhwa
Malakand,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1228948,755432,0,0,0,Khyber Pakhtunkhwa
Malir Karachi,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2493724,1322544,0,0,0,Sindh
Mandi Bahauddin,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6376156,4642208,0,0,0,Punjab
Mansehra,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7673656,4804360,0,0,0,Khyber Pakhtunkhwa
Mardan,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12266504,7544900,0,0,0,Khyber Pakhtunkhwa
Mastung,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,907264,523108,0,0,0,Balochistan
Matiari,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3080160,1976976,0,0,0,Sindh
Mianwali,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6170404,4226480,0,0,0,Punjab
Mirpur,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114924,93680,0,0,0,Azad Kashmir
Mirpur Khas,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6017760,4025316,0,0,0,Sindh
Mohmand,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2176688,1314568,0,0,0,Khyber Pakhtunkhwa
Multan,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18984664,12467404,0,0,0,Punjab
Musakhel,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,543616,436936,0,0,0,Balochistan
Muzaffarabad,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1076884,635200,0,0,0,Azad Kashmir
Muzaffargarh,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17314196,10543612,0,0,0,Punjab
Nagar,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205552,280000,0,0,0,Gilgit Baltistan
Nankana Sahib,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5419944,4179460,0,0,0,Punjab
Narowal,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6830300,5060388,0,0,0,Punjab
Nasirabad,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1899088,978516,0,0,0,Balochistan
Naushahro Feroze,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6448188,4350284,0,0,0,Sindh
Neelum,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303952,190252,0,0,0,Azad Kashmir
North Waziristan,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2340836,1554800,0,0,0,Khyber Pakhtunkhwa
Nowshera,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6553404,3849180,0,0,0,Khyber Pakhtunkhwa
Nushki,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,715788,392120,0,0,0,Balochistan
Okara,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12163304,8931968,0,0,0,Punjab
Orakzai,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017212,901764,0,0,0,Khyber Pakhtunkhwa
Pakpattan,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7296912,5146720,0,0,0,Punjab
Panjgur,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1261412,936204,0,0,0,Balochistan
Peshawar,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14898724,9158232,0,0,0,Khyber Pakhtunkhwa
Pishin,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2947612,1506912,0,0,0,Balochistan
Poonch,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,454392,279312,0,0,0,Azad Kashmir
Quetta,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9077892,3098188,0,0,0,Balochistan
Rahim Yar Khan,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16021696,9945576,0,0,0,Punjab
Rajanpur,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8169112,4551300,0,0,0,Punjab
Rawalpindi,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21609520,13455644,0,0,0,Punjab
Rondu,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64000,157960,0,0,0,Gilgit Baltistan
Sahiwal,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11414824,8363196,0,0,0,Punjab
Sanghar,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8199492,5279524,0,0,0,Sindh
Sargodha,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13422068,9673496,0,0,0,Punjab
Shaheed Benazir Abad,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6703848,4410508,0,0,0,Sindh
Shaheed Sikandarabad,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,803428,373604,0,0,0,Balochistan
Shangla,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4010388,2335704,0,0,0,Khyber Pakhtunkhwa
Sheikhupura,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13840016,9104656,0,0,0,Punjab
Sherani,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,611808,326736,0,0,0,Balochistan
Shigar,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181288,280000,0,0,0,Gilgit Baltistan
Shikarpur,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4126176,2780356,0,0,0,Sindh
Sialkot,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15579752,10893924,0,0,0,Punjab
Sibi,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500052,370660,0,0,0,Balochistan
Skardu,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,510320,1040000,0,0,0,Gilgit Baltistan
Sohbatpur,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213736,165784,0,0,0,Balochistan
South Karachi,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7189508,5278632,0,0,0,Sindh
South Waziristan,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2700860,1719364,0,0,0,Khyber Pakhtunkhwa
Sudhnoti,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,491432,310552,0,0,0,Azad Kashmir
Sujawal,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3116248,2054808,0,0,0,Sindh
Sukkur,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5953488,3725548,0,0,0,Sindh
Swabi,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6501908,4107216,0,0,0,Khyber Pakhtunkhwa
Swat,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10550456,5927360,0,0,0,Khyber Pakhtunkhwa
Tando Allahyar,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3354108,1974104,0,0,0,Sindh
Tando Muhammad Khan,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2708392,1754496,0,0,0,Sindh
Tangir,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40000,125028,0,0,0,Gilgit Baltistan
Tank,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1706472,1041360,0,0,0,Khyber Pakhtunkhwa
Tharparkar,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6588144,3657164,0,0,0,Sindh
Thatta,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3928552,2397968,0,0,0,Sindh
Toba Tek Singh,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8452224,6157140,0,0,0,Punjab
Tor Ghar,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,685396,698728,0,0,0,Khyber Pakhtunkhwa
Umer Kot,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4293876,2659188,0,0,0,Sindh
Upper Dir,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5771952,2860116,0,0,0,Khyber Pakhtunkhwa
Vehari,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11608324,8361664,0,0,0,Punjab
Washuk,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,592656,361472,0,0,0,Balochistan
West Karachi,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7025408,4291568,0,0,0,Sindh
Zhob,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1012424,615972,0,0,0,Balochistan
Ziarat,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,640380,322992,0,0,0,Balochistan
Abbottabad,1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3204474,2092220,0,0,0,Khyber Pakhtunkhwa
Astore,1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143332,200000,0,0,0,Gilgit Baltistan
Attock,1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3772756,2549870,0,0,0,Punjab
Awaran,1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206862,191486,0,0,0,Balochistan
Badin,1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3590800,2237020,0,0,0,Sindh
Bagh,1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343132,207450,0,0,0,Azad Kashmir
Bahawalnagar,1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5951312,4122894,0,0,0,Punjab
Bahawalpur,1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6186580,4092106,0,0,0,Punjab
Bajaur,1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2181974,1190454,0,0,0,Khyber Pakhtunkhwa
Bannu,1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2829544,1655856,0,0,0,Khyber Pakhtunkhwa
Barkhan,1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342050,207090,0,0,0,Balochistan
Batagram,1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,953498,614556,0,0,0,Khyber Pakhtunkhwa
Bhakkar,1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3295704,2102912,0,0,0,Punjab
Bhimber,1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339384,206930,0,0,0,Azad Kashmir
Buner,1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1790920,1012096,0,0,0,Khyber Pakhtunkhwa
Central Karachi,1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5050070,3845980,0,0,0,Sindh
