from_month,from_year,to_month,to_year,province,district,f_sub_borrowers_tot,f_sub_disbursed,f_sub_recovered,f_sub_borrowers_out,f_sub_outstanding,f_eco_borrowers_tot,f_eco_disbursed,f_eco_recovered,f_eco_borrowers_out,f_eco_outstanding,f_abv_borrowers_tot,f_abv_disbursed,f_abv_rabvvered,f_abv_borrowers_out,f_abv_outstanding,nf_sf_borrowers_tot,nf_sf_disbursed,nf_sf_recovered,nf_sf_borrowers_out,nf_sf_outstanding,nf_lf_borrowers_tot,nf_lf_disbursed,nf_lf_recovered,nf_lf_borrowers_out,nf_lf_outstanding,,,,,
7,2021,6,2022,Sindh,Nawabshah,4611.000,12070978546.000,10450838015.000,6573.000,12770352389.000,920.000,13370492.000,12380681.000,1131.000,8710751.000,109.000,12440585.000,10830156.000,149.000,3930754.000,6338.000,10210553125.000,8730475403.000,8513.000,13260187543.000,163.000,141067.000,2170663.000,275.000,1090196.000,,,,,
7,2021,6,2022,Sindh,Sanghar,5175.000,16080197434.000,12680998556.000,7072.000,15600460429.000,1054.000,21230522.000,1896039.000,1298.000,12100651.000,201.000,17910074.000,14840258.000,276.000,8480067.000,8479.000,1198023143.000,885062055.000,12787.000,16120264422.000,132.000,1130657.000,1270246.000,416.000,1410893.000,,,,,
7,2021,6,2022,Sindh,Shikarpur,5436.000,10950560799.000,7610753787.000,7338.000,12080209227.000,151.000,3410689.000,3450025.000,252.000,2360792.000,20.000,19930373.000,1190819.000,32.000,1790669.000,3178.000,4390048526.000,3490135479.000,5833.000,6540983127.000,89.000,41011.000,520596.000,481.000,1210071.000,,,,,
7,2021,6,2022,Sindh,Sujawal,746.000,22205388.000,2890324679.000,1049.000,2980608985.000,148.000,2170466.000,2150523.000,346.000,2060855.000,15.000,950755.000,86004.000,298.000,1120281.000,1073.000,1650208811.000,2700601451.000,1309.000,2120985338.000,30.000,10196.000,938.000,67.000,40491.000,,,,,
7,2021,6,2022,Sindh,Sukkur,6376.000,48880193442.000,50950802615.000,13094.000,27150267557.000,355.000,21080004.000,60030135.000,458.000,49806083.000,84.000,6900856.000,7130502.000,74.000,10320059.000,6576.000,13170376467.000,8200944816.000,8717.000,14070043394.000,319.000,1810146.000,1450923.000,567.000,1910832.000,,,,,
7,2021,6,2022,Sindh,Tando Allahyar,2794.000,5420089405.000,5480435035.000,4278.000,7750234564.000,398.000,5520437.000,4890446.000,718.000,5630703.000,94.000,9770589.000,955072.000,76.000,4030058.000,3716.000,5950075641.000,4810865227.000,5615.000,7180442059.000,17.000,1270691.000,1210024.000,49.000,320706.000,,,,,
7,2021,6,2022,Sindh,Tando Muhammad Khan,2328.000,4540013444.000,3110407648.000,3249.000,6380702758.000,290.000,4530974.000,41708.000,402.000,2940815.000,62.000,783032.000,6590306.000,63.000,2230034.000,3230.000,6290497968.000,4290328391.000,3896.000,701061318.000,12.000,740129.000,500538.000,61.000,450977.000,,,,,
7,2021,6,2022,Sindh,Tharparkar,957.000,195064875.000,690491686.000,760.000,1650645161.000,19.000,80877.000,11003.000,17.000,60926.000,0.000,0.000,38.000,1.000,37.000,5414.000,12010843388.000,7060466046.000,7109.000,13820034233.000,4.000,973.000,90425.000,7.000,10166.000,,,,,
7,2021,6,2022,Sindh,Thatta,1292.000,33205645.000,3130994961.000,1760.000,3920665029.000,211.000,2130088.000,2320074.000,275.000,1540754.000,58.000,22140219.000,11210717.000,56.000,11390718.000,2279.000,7240375522.000,5710323708.000,3630.000,8770347976.000,11.000,90518.000,120634.000,13.000,260026.000,,,,,
7,2021,6,2022,Sindh,Umerkot,1890.000,5700973465.000,2960929298.000,2475.000,5980546079.000,428.000,8620979.000,8280428.000,584.000,5270497.000,91.000,4280753.000,434038.000,104.000,2200252.000,8324.000,10170742447.000,7260236218.000,8041.000,11060891069.000,33.000,620513.000,1010114.000,72.000,420701.000,,,,,
7,2021,6,2022,Sindh,MFIs ,11524.000,6390168.000,5390107.000,11448.000,5760832.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,73721.000,3215047.000,30140050657.000,115256.000,35920253091.000,0.000,0.000,0.000,0.000,0.000,,,,,
7,2021,6,2022,Khyber Pakhtunkhwa,Abbotabad,550.000,15508267.000,8909988856.000,475.000,10305839732.000,2.000,40503.000,90003.000,2.000,10999.000,3.000,190048.000,184068.000,5.000,100326.000,2831.000,729012.000,51502635847.000,3822.000,78707972454.000,34.000,400758.000,370695.000,133.000,230401.000,,,,,
7,2021,6,2022,Khyber Pakhtunkhwa,Bajur Agency,122.000,350803.000,200403.000,123.000,330858.000,1.000,51.000,392.000,1.000,5.000,0.000,0.000,0.000,0.000,0.000,102.000,270051.000,30624.000,131.000,300005.000,39.000,70089.000,0.000,39.000,70089.000,,,,,
7,2021,6,2022,Khyber Pakhtunkhwa,Bannu,158.000,450649.000,720803.000,286.000,610086.000,17.000,70597.000,140378.000,17.000,70613.000,1.000,230001.000,230001.000,2.000,0.000,532.000,3320903.000,1810595.000,751.000,3480585.000,194.000,630938.000,370473.000,200.000,63052.000,,,,,
7,2021,6,2022,Khyber Pakhtunkhwa,Battagram,0.000,0.000,39.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,46.000,17057.000,7018.000,178.000,32048.000,16.000,3047.000,30658.000,18.000,3026.000,,,,,
7,2021,6,2022,Khyber Pakhtunkhwa,Bunair,71.000,190855.000,140265.000,86.000,210377.000,5.000,30159.000,50369.000,7.000,40769.000,0.000,0.000,0.000,0.000,0.000,195.000,26033.000,270904.000,314.000,380888.000,12.000,110383.000,90339.000,28.000,80829.000,,,,,
7,2021,6,2022,Khyber Pakhtunkhwa,Charsadda,1745.000,4140203504.000,3910107874.000,1854.000,36305356318.000,166.000,2080247.000,2400422.000,205.000,1290008.000,14.000,220612.000,25035.000,11.000,160049.000,1394.000,61100361.000,34807187839.000,1534.000,54702388925.000,662.000,2570029.000,2980174.000,1092.000,3360113.000,,,,,
7,2021,6,2022,Khyber Pakhtunkhwa,Chitral,3029.000,5490109.000,3900777.000,3401.000,4780568.000,148.000,2870907.000,2280238.000,147.000,1370566.000,7.000,590488.000,420451.000,7.000,310048.000,1169.000,2840955.000,1120301.000,2354.000,4500941.000,10.000,20294.000,10218.000,67.000,60923.000,,,,,
7,2021,6,2022,Khyber Pakhtunkhwa,Dera Ismail Khan,8599.000,198006348187.000,196903167401.000,9674.000,204001549294.000,1040.000,1354061401026.000,13050866.000,1073.000,8630057.000,162.000,14890292.000,10190957.000,163.000,5590933.000,5707.000,8290594165.000,65402498322.000,5643.000,70207613481.000,113.000,650229.000,330824.000,175.000,1040595.000,,,,,
7,2021,6,2022,Khyber Pakhtunkhwa,Dir Lower,377.000,940199.000,680333.000,442.000,850641.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,886.000,303036.000,17303.000,1189.000,3230081.000,28.000,20498.000,538.000,33.000,20604.000,,,,,
7,2021,6,2022,Khyber Pakhtunkhwa,Dir Upper,36.000,110251.000,150932.000,37.000,10055.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,55.000,100284.000,30055.000,83.000,120184.000,0.000,0.000,0.000,0.000,0.000,,,,,
7,2021,6,2022,Khyber Pakhtunkhwa,F0R0 Bannu,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000,45.000,0.000,3.000,431.000,0.000,0.000,0.000,0.000,0.000,,,,,
7,2021,6,2022,Khyber Pakhtunkhwa,F0R0 D0I0Khan,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,
7,2021,6,2022,Khyber Pakhtunkhwa,F0R0 Kohat,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,
7,2021,6,2022,Khyber Pakhtunkhwa,F0R0 Lakki Marwat,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,
7,2021,6,2022,Khyber Pakhtunkhwa,F.R. Peshawar,13.000,2024.000,0.000,13.000,2024.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.000,1054.000,4.000,7.000,1035.000,0.000,0.000,0.000,0.000,0.000,,,,,
7,2021,6,2022,Khyber Pakhtunkhwa,F0R0 Tank,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,,,,,
7,2021,6,2022,Khyber Pakhtunkhwa,Hangu,3.000,4.000,30769.000,17.000,30278.000,1.000,2.000,40505.000,43.000,60141.000,0.000,0.000,0.000,0.000,0.000,23.000,7075.000,60244.000,100.000,190468.000,0.000,0.000,0.000,0.000,0.000,,,,,
